cohort_month,activity_month,accounts_in_cohort_month,accounts_with_activity
2023-12,2023-12,4,4
2023-12,2024-01,4,4
2023-12,2024-02,3,3
2023-12,2024-03,5,5
2023-12,2024-04,2,2
2023-12,2024-05,3,3
2023-12,2024-06,5,5
2023-12,2024-07,3,3
2023-12,2024-08,3,3
2023-12,2024-09,2,2
2023-12,2024-10,4,4
2023-12,2024-11,4,4
2023-12,2024-12,2,2
2024-01,2024-01,1,1
2024-01,2024-02,2,2
2024-01,2024-03,5,5
2024-01,2024-04,2,2
2024-01,2024-06,2,2
2024-01,2024-07,6,6
2024-01,2024-08,5,5
2024-01,2024-09,5,5
2024-01,2024-11,5,5
2024-01,2024-12,5,5
2024-02,2024-02,3,3
2024-02,2024-03,2,2
2024-02,2024-04,1,1
2024-02,2024-05,1,1
2024-02,2024-06,2,2
2024-02,2024-08,3,3
2024-02,2024-09,3,3
2024-02,2024-10,2,2
2024-02,2024-11,1,1
2024-02,2024-12,3,3
2024-03,2024-03,4,4
2024-03,2024-04,3,3
2024-03,2024-05,1,1
2024-03,2024-06,2,2
2024-03,2024-07,2,2
2024-03,2024-08,4,4
2024-03,2024-09,3,3
2024-03,2024-10,5,5
2024-03,2024-11,3,3
2024-03,2024-12,4,4
2024-04,2024-04,4,4
2024-04,2024-05,3,3
2024-04,2024-06,2,2
2024-04,2024-07,5,5
2024-04,2024-08,5,5
2024-04,2024-09,6,6
2024-04,2024-10,4,4
2024-04,2024-11,4,4
2024-04,2024-12,6,6
2024-05,2024-05,2,2
2024-05,2024-06,1,1
2024-05,2024-07,1,1
2024-05,2024-08,1,1
2024-05,2024-09,1,1
2024-05,2024-10,2,2
2024-05,2024-12,1,1
2024-06,2024-06,3,3
2024-06,2024-07,4,4
2024-06,2024-08,2,2
2024-06,2024-09,4,4
2024-06,2024-10,4,4
2024-06,2024-11,3,3
2024-06,2024-12,5,5
2024-07,2024-07,3,3
2024-07,2024-08,5,5
2024-07,2024-09,5,5
2024-07,2024-10,3,3
2024-07,2024-11,4,4
2024-07,2024-12,3,3
2024-08,2024-08,7,7
2024-08,2024-09,7,7
2024-08,2024-10,5,5
2024-08,2024-11,3,3
2024-08,2024-12,2,2
2024-09,2024-09,5,5
2024-09,2024-10,2,2
2024-09,2024-11,2,2
2024-09,2024-12,3,3
2024-10,2024-10,2,2
2024-10,2024-11,2,2
2024-10,2024-12,2,2
2024-11,2024-11,3,3
2024-11,2024-12,4,4
2024-12,2024-12,1,1
